go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
2	臺北車站(青島)	1004100820	25.044844	121.517704	2	臺北車站(青島)	1004100820	25.044844	121.517704		
20	社子消防分隊	1116500300	25.079411	121.5112234	20	社子消防分隊	1116500300	25.079411	121.5112234		
20	社子派出所	1117200320	25.089332	121.5056145	20	社子派出所	1117200320	25.089332	121.5056145		
21	社子市場二	1117200240	25.088796	121.5081045	21	社子市場二	1117200240	25.088796	121.5081045		
21	海光新村	1116500400	25.080711	121.5107623	21	海光新村	1116500400	25.080711	121.5107623		
22	葫蘆堵市場	1116501000	25.083057	121.5102329	22	葫蘆堵市場	1116501000	25.083057	121.5102329		
22	社子市場	1117200140	25.088046	121.5087166	22	社子市場	1117200140	25.088046	121.5087166		
23	葫蘆寺(葫蘆里)	1117300200	25.086022	121.5096458	23	葫蘆寺(葫蘆里)	1117300200	25.086022	121.5096458		
23	葫蘆寺(葫蘆里)	1117100340	25.085288	121.5095885	23	葫蘆寺(葫蘆里)	1117100340	25.085288	121.5095885		
24	葫蘆堵市場	1116501040	25.083075	121.5100276	24	葫蘆堵市場	1116501040	25.083075	121.5100276		
24	社子市場	1117200100	25.087505	121.5090743	24	社子市場	1117200100	25.087505	121.5090743		
25	海光新村	1117100240	25.081321	121.5103891	25	海光新村	1117100240	25.081321	121.5103891		
25	社園里	1117200600	25.089056	121.5079873	25	社園里	1117200600	25.089056	121.5079873		
26	社子消防分隊	1116500340	25.079521	121.5109944	26	社子消防分隊	1116500340	25.079521	121.5109944		
26	社子派出所	1117200360	25.089599	121.5064251	26	社子派出所	1117200360	25.089599	121.5064251		
27	污水處理廠	1037200040	25.07605	121.5118	27	污水處理廠	1037200040	25.07605	121.5118		
27	永倫里(南)	1117200760	25.089467	121.503968	27	永倫里(南)	1117200760	25.089467	121.503968		
28	老師里	1037300020	25.072056	121.5115542	28	老師里	1037300020	25.072056	121.5115542		
28	社子國小	1117200400	25.089904	121.5025776	28	社子國小	1117200400	25.089904	121.5025776		
29	永倫里(延平)	1117500100	25.091148	121.500682	29	永倫里(延平)	1117500100	25.091148	121.500682		
29	酒泉街	1037300220	25.072041	121.5133789	29	酒泉街	1037300220	25.072041	121.5133789		
3	行政院	1004100500	25.046578	121.5202398	3	行政院	1004100500	25.046578	121.5202398		
3	浮線	1117401140	25.106587	121.4725103	3	浮線	1117401140	25.106587	121.4725103		
